epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,109.229,1.8126,2.07976,1.56991,0,0,0,0,0,0,0,0.0005,0.0005,0.0005
2,150.62,1.3911,1.37498,1.2943,0,0,0,0,0,0,0,0.00091902,0.00091902,0.00091902
3,156.61,1.32451,0.99106,1.20271,0,0,0,0,0,0,0,0.00123508,0.00123508,0.00123508
4,162.805,1.18533,0.82424,1.1271,0,0,0,0,0,0,0,0.001406,0.001406,0.001406
5,168.727,1.12368,0.77333,1.1162,0,0,0,0,0,0,0,0.001208,0.001208,0.001208
6,174.558,1.10693,0.74824,1.10919,0,0,0,0,0,0,0,0.00101,0.00101,0.00101
7,180.4,1.07694,0.75956,1.1216,0,0,0,0,0,0,0,0.000812,0.000812,0.000812
8,186.297,0.99045,0.67171,1.06611,0,0,0,0,0,0,0,0.000614,0.000614,0.000614
9,192.1,1.0078,0.68607,1.06301,0,0,0,0,0,0,0,0.000416,0.000416,0.000416
10,200.003,0.96581,0.63801,1.04559,0.97175,0.95027,0.97764,0.76188,0.87114,0.57275,0.99698,0.000218,0.000218,0.000218
